Hisse,Kısa_EMA,Uzun_EMA,İşlem_Sayısı,Bitiş_Bakiyesi(TL),Net_Kar(%)
AKBNK,15,30,14,168.09,68.09
AKBNK,20,50,12,134.64,34.64
AKBNK,50,100,6,116.59,16.59
AKBNK,10,20,20,85.86,-14.14
BIMAS,20,50,8,112.67,12.67
BIMAS,50,100,4,103.23,3.23
BIMAS,10,20,12,101.32,1.32
BIMAS,15,30,2,95.33,-4.67
HEKTS,20,50,12,122.9,22.9
HEKTS,50,100,2,99.04,-0.96
HEKTS,10,20,20,83.22,-16.78
HEKTS,15,30,12,70.31,-29.69
KCHOL,20,50,12,122.82,22.82
KCHOL,15,30,12,121.02,21.02
KCHOL,10,20,16,104.78,4.78
KCHOL,50,100,12,103.28,3.28
LOGO,10,20,20,273.29,173.29
LOGO,20,50,12,244.57,144.57
LOGO,15,30,12,152.42,52.42
LOGO,50,100,6,116.1,16.1
PGSUS,20,50,18,162.59,62.59
PGSUS,15,30,18,158.08,58.08
PGSUS,10,20,22,131.75,31.75
PGSUS,50,100,2,104.65,4.65
TCELL,20,50,10,187.35,87.35
TCELL,50,100,8,161.93,61.93
TCELL,10,20,10,122.71,22.71
TCELL,15,30,6,84.19,-15.81
THYAO,15,30,12,102.33,2.33
THYAO,50,100,6,96.24,-3.76
THYAO,20,50,12,85.62,-14.38
THYAO,10,20,20,77.87,-22.13
TUPRS,15,30,10,162.42,62.42
TUPRS,20,50,12,98.6,-1.4
TUPRS,50,100,2,96.87,-3.13
TUPRS,10,20,18,69.7,-30.3
YKBNK,15,30,16,197.78,97.78
YKBNK,20,50,14,173.15,73.15
YKBNK,50,100,4,98.32,-1.68
YKBNK,10,20,16,95.53,-4.47
